    , time                     , open   , high   , low    , close  , volume, bb_upper, bb_middle, bb_lower, percentb
1056, 2024-11-04 17:35:00+00:00, 67903.4, 67933.1, 67679.9, 67771.8,    7.5,  68755.9,   67978.1,  67200.3, 0.4
1057, 2024-11-04 17:40:00+00:00, 67776.4, 67861.5, 67704.6, 67811.2,    8.1,  68685.6,   67943.6,  67201.5, 0.4
1058, 2024-11-04 17:45:00+00:00, 67811.2, 67823.4, 67721.0, 67823.4,    4.6,  68571.3,   67902.3,  67233.4, 0.4
1059, 2024-11-04 17:50:00+00:00, 67823.3, 67896.7, 67783.7, 67895.9,    3.5,  68437.0,   67864.3,  67291.6, 0.5
1060, 2024-11-04 17:55:00+00:00, 67895.9, 67898.8, 67822.7, 67827.7,    3.0,  68339.0,   67833.2,  67327.4, 0.5
1061, 2024-11-04 18:00:00+00:00, 67827.7, 67858.1, 67573.5, 67649.7,   21.4,  68258.5,   67799.6,  67340.8, 0.3
1062, 2024-11-04 18:05:00+00:00, 67650.5, 67791.9, 67599.2, 67644.3,   15.7,  68172.5,   67767.6,  67362.6, 0.3
1063, 2024-11-04 18:10:00+00:00, 67657.3, 67792.5, 67657.3, 67681.3,    8.8,  68084.9,   67740.0,  67395.0, 0.4
1064, 2024-11-04 18:15:00+00:00, 67681.4, 67809.5, 67661.1, 67805.0,    7.2,  68025.9,   67724.5,  67423.1, 0.6
1065, 2024-11-04 18:20:00+00:00, 67807.9, 67990.0, 67792.5, 67937.4,    8.7,  68021.3,   67723.4,  67425.4, 0.9
1066, 2024-11-04 18:25:00+00:00, 67933.1, 68042.5, 67788.5, 67788.5,   21.1,  68020.8,   67723.1,  67425.4, 0.6
1067, 2024-11-04 18:30:00+00:00, 67776.6, 67796.7, 67696.0, 67760.1,    8.7,  68021.5,   67723.6,  67425.6, 0.6
1068, 2024-11-04 18:35:00+00:00, 67760.1, 67809.5, 67703.8, 67771.5,    4.8,  68023.0,   67724.6,  67426.2, 0.6
1069, 2024-11-04 18:40:00+00:00, 67771.6, 67859.6, 67651.1, 67674.0,   19.7,  68019.1,   67731.0,  67442.9, 0.4
1070, 2024-11-04 18:45:00+00:00, 67670.1, 67743.4, 67647.0, 67663.7,    3.0,  68014.5,   67736.8,  67459.1, 0.4
1071, 2024-11-04 18:50:00+00:00, 67667.6, 67723.8, 67643.1, 67680.9,    9.3,  67994.4,   67748.4,  67502.5, 0.4
1072, 2024-11-04 18:55:00+00:00, 67680.9, 67690.1, 67644.3, 67651.5,    4.2,  67938.5,   67763.2,  67587.9, 0.2
1073, 2024-11-04 19:00:00+00:00, 67660.0, 67782.4, 67642.4, 67741.6,    7.3,  67938.8,   67764.0,  67589.3, 0.4
1074, 2024-11-04 19:05:00+00:00, 67741.7, 67971.5, 67741.7, 67964.7,   12.4,  67967.5,   67772.4,  67577.2, 1.0
1075, 2024-11-04 19:10:00+00:00, 67971.5, 68040.8, 67912.5, 68014.4,   20.3,  67993.0,   67777.9,  67562.9, 1.0
1076, 2024-11-04 19:15:00+00:00, 68013.5, 68013.5, 67899.9, 67918.4,    6.8,  68008.8,   67785.3,  67561.7, 0.8
